# DYNAMIC COUNTS:
# Total dynamic bytecodes: 990036
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,123038.1,671.5965972767312
CALL,136990,156515.95,901.013141734874
CATCH,0,0.0,0.0
CREATE_CLASS,1,19.1,3.3857285618810087
CREATE_FUNC,17,37.85,5.4219340111304035
CREATE_LIST,1,2.45,0.6863327411532597
CREATE_OBJECT,1,7.3,1.3803127029389886
DUPE,31041,19491.15,149.7989090677725
JUMP,13699,8454.95,89.9575777212441
JUMP_IF_FALSE,17320,11064.55,106.6472172509366
JUMP_IF_FALSE_PEEK,8659,5529.75,43.208034096986104
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39690,24907.1,126.41947718024426
LOAD_FIELD,156363,142844.15,812.4497895416796
LOAD_GLOBAL,11,19.9,3.5228576916744005
LOAD_GLOBAL_BY_INDEX,38253,24091.75,192.1887435774915
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,249418,156356.8,872.4063876790241
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,59837,37508.1,225.7100841904573
RAISE,0,0.0,0.0
RETURN,62039,39582.55,220.13213137376837
RETURN_INIT,1,1.85,0.36634754853252316
STORE_FIELD,8664,5561.55,60.27522402761297
STORE_GLOBAL,20,49.4,8.381684292488435
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22357,13995.6,150.4457937002735
SWAP,8664,5462.3,72.10525931617362
TRY,0,0.0,0.0
