# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 39
LOAD_GLOBAL, 66
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 89
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 52
LOAD_NONLOCAL, 0
STORE_GLOBAL, 32
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 11
STORE_FIELD, 16
CALL, 69
JUMP, 8
JUMP_IF_FALSE, 5
JUMP_IF_TRUE_PEEK, 0
JUMP_IF_FALSE_PEEK, 6
RAISE, 1
TRY, 0
CATCH, 0
ASSERT_FUNC, 69
CREATE_OBJECT, 4
CREATE_CLASS, 4
CREATE_LIST, 4
CREATE_FUNC, 20
POP, 58
DUPE, 59
SWAP, 16
RETURN, 23
RETURN_INIT, 1
# Total static bytecodes: 652
