# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 26
LOAD_GLOBAL, 48
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 69
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 48
LOAD_NONLOCAL, 0
STORE_GLOBAL, 25
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 8
STORE_FIELD, 13
CALL, 52
JUMP, 8
JUMP_IF_FALSE, 5
JUMP_IF_TRUE_PEEK, 0
JUMP_IF_FALSE_PEEK, 6
RAISE, 1
TRY, 0
CATCH, 0
ASSERT_FUNC, 52
CREATE_OBJECT, 3
CREATE_CLASS, 3
CREATE_LIST, 1
CREATE_FUNC, 18
POP, 38
DUPE, 46
SWAP, 13
RETURN, 21
RETURN_INIT, 1
# Total static bytecodes: 505
