# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 19
LOAD_GLOBAL, 33
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 55
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 38
LOAD_NONLOCAL, 0
STORE_GLOBAL, 20
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 3
STORE_FIELD, 10
CALL, 40
JUMP, 7
JUMP_IF_FALSE, 5
JUMP_IF_TRUE_PEEK, 0
JUMP_IF_FALSE_PEEK, 2
RAISE, 1
TRY, 0
CATCH, 0
ASSERT_FUNC, 40
CREATE_OBJECT, 1
CREATE_CLASS, 1
CREATE_LIST, 0
CREATE_FUNC, 17
POP, 25
DUPE, 33
SWAP, 10
RETURN, 20
RETURN_INIT, 1
# Total static bytecodes: 381
