instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,136990,17992873.6,1164589.8672020973
CALL,136990,27649162.2,701535.1208451363
CATCH,0,0.0,0.0
CREATE_CLASS,1,130283.0,9601.787672095234
CREATE_FUNC,17,456417.0,52205.09729901861
CREATE_LIST,1,66691.6,2669.021880764564
CREATE_OBJECT,1,165207.8,18309.396691316724
DUPE,31039,550745.8,14876.336198809178
JUMP,13699,186418.6,21175.649324164773
JUMP_IF_FALSE,17320,508207.2,19454.74584002577
JUMP_IF_FALSE_PEEK,8659,360230.4,32086.601367237385
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39690,738810.6,55627.53028672044
LOAD_FIELD,156363,26342549.2,2419729.968206204
LOAD_GLOBAL,11,430240.6,134247.61696320723
LOAD_GLOBAL_BY_INDEX,38253,879018.0,55731.88309666201
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,249416,4396172.8,229663.77388630548
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,59836,933024.6,28947.529079353222
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,8662,760839.2,61284.711316934496
STORE_GLOBAL,20,115574.8,8890.773374684566
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22357,515070.6,33398.28204114696
SWAP,8662,226704.8,25240.92757210004
TRY,0,0.0,0.0
