instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,161497,42148584.2,21739291.493098162
CALL,161497,57490278.2,40117897.136361204
CATCH,0,0.0,0.0
CREATE_CLASS,1,131674.8,7796.033363191825
CREATE_FUNC,17,446941.6,14306.675812361167
CREATE_LIST,1,61617.2,3925.10403683775
CREATE_OBJECT,1,116408.0,2931.6496209472234
DUPE,22430,754566.0,507354.4778076764
JUMP,21737,485879.2,276834.84339710564
JUMP_IF_FALSE,4999,125226.8,35411.44214374783
JUMP_IF_FALSE_PEEK,21739,1021825.8,760799.707873038
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36072,941226.2,399650.8431208422
LOAD_FIELD,123020,38927599.2,10081143.75869034
LOAD_GLOBAL,14,396083.2,115143.93047486263
LOAD_GLOBAL_BY_INDEX,59535,1885472.0,1104630.462298818
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,223451,5860460.6,2799939.3477518936
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43481,1221493.6,796474.9176328781
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,20,118649.8,11411.61799220426
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22410,713282.6,381495.89201890497
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
