instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,105193,13154511.8,1815076.9109240798
CALL,105193,24025576.4,1144514.9212739868
CATCH,0,0.0,0.0
CREATE_CLASS,1,140591.8,38003.934884430055
CREATE_FUNC,17,433291.0,8005.500140528381
CREATE_LIST,40,401008.2,66312.06284832346
CREATE_OBJECT,1,212808.0,88559.82210065691
DUPE,9891,238107.2,58581.58772771527
JUMP,9740,140615.2,13676.149355721438
JUMP_IF_FALSE,11010,347604.8,81721.61240271755
JUMP_IF_FALSE_PEEK,27351,745462.0,23421.114181438934
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36367,803192.4,156751.44607084172
LOAD_FIELD,101732,23799450.6,2912376.59324233
LOAD_GLOBAL,57,513001.4,145370.29260237457
LOAD_GLOBAL_BY_INDEX,29307,849810.2,103319.79447666358
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,178054,3381454.8,178299.70186654822
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,28393,529995.2,7608.215342641154
RAISE,0,0.0,0.0
RETURN,80,32035.0,1784.9617642963674
STORE_FIELD,40,147074.6,11874.976054712703
STORE_GLOBAL,19,108900.0,3400.629941643165
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,9832,277670.8,33836.677883622084
SWAP,40,42601.0,19657.780533417295
TRY,0,0.0,0.0
