instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,714237,55396567.8,5529515.065628921
CALL,714237,98756224.8,5663592.637321182
CATCH,0,0.0,0.0
CREATE_CLASS,10,282950.4,27431.23298905829
CREATE_FUNC,20,445584.0,18188.470757598065
CREATE_LIST,1027,734565.4,148060.67352035112
CREATE_OBJECT,3802,6563324.8,363255.3735888844
DUPE,92095,1376018.4,64307.355553622336
JUMP,78765,894140.0,115067.95724049333
JUMP_IF_FALSE,158081,2071852.8,142846.03662405198
JUMP_IF_FALSE_PEEK,44626,724327.6,93795.66867291903
JUMP_IF_TRUE_PEEK,44250,649997.2,41373.33018020184
LOAD_CONST,265712,3371952.2,271679.96617656585
LOAD_FIELD,788224,79233529.6,5157901.141984045
LOAD_GLOBAL,128,560517.0,16265.43901958998
LOAD_GLOBAL_BY_INDEX,300029,4273142.2,301524.7508127649
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,1072457,14112228.2,616945.2758447869
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,186531,2227735.8,135640.7634330477
RAISE,0,0.0,0.0
RETURN,9771,177902.4,18639.183962824125
STORE_FIELD,63899,3442258.6,108548.21319717797
STORE_GLOBAL,36,159008.4,23340.922492480884
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,28160,497268.2,30361.533092055804
SWAP,63899,927977.2,60018.14006365076
TRY,0,0.0,0.0
