instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,171940,16865837.8,693037.868961141
CALL,171940,38904911.6,1697256.281910543
CATCH,0,0.0,0.0
CREATE_CLASS,2,126966.6,7163.232810679824
CREATE_FUNC,17,456266.8,37425.3715439139
CREATE_LIST,1,65658.4,2423.083737719356
CREATE_OBJECT,15,438375.0,87710.07482894995
DUPE,45144,811650.4,47055.17155212591
JUMP,12429,169020.6,11363.528250503892
JUMP_IF_FALSE,32792,792550.8,39247.08770979065
JUMP_IF_FALSE_PEEK,8220,350079.6,35459.37026795597
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,45134,787719.2,42385.718664427535
LOAD_FIELD,196385,35972111.6,1488648.1505910987
LOAD_GLOBAL,15,403525.6,58515.19751996057
LOAD_GLOBAL_BY_INDEX,49092,1463261.0,184926.5857117359
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,360274,6362907.6,122363.44367007664
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,61521,972057.0,26651.07555052891
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,24603,1873968.0,41627.38859813332
STORE_GLOBAL,21,124067.0,19719.44040788176
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,20520,495531.2,13317.090868504276
SWAP,24603,566488.4,17567.96252557479
TRY,0,0.0,0.0
